RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31
394456,520,"Charleston, IL",msa,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666.666666666667,5000.0,5000.0,4933.333333333333,4933.333333333333,4933.333333333333,5275.0,5291.666666666667,5291.666666666667,5016.666666666667,4666.666666666667,4650.0,4650.0,4983.333333333333,5000.0,5000.0,5000.0,5000.0,5000.0,5683.333333333333,6533.333333333333,6566.666666666667,6683.333333333333,7166.666666666667
395136,523,"Sturgis, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8966.5,10633.166666666666,10833.166666666666,10500.0,10298.0,9798.0,8164.666666666667,7416.666666666667
753903,525,"Marietta, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11700.0,11700.0,10333.333333333334,10300.0,10300.0,9966.666666666666,10000.0,10000.0,10000.0,10000.0
394693,527,"Hudson, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26716.5,28566.5,26866.5,28516.666666666668,28666.666666666668,27183.333333333332,25516.666666666668,26850.0,25000.0
394432,529,"Calhoun, GA",msa,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13966.666666666666,12000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
394939,531,"Oneonta, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8833.333333333334,8833.333333333334,8833.333333333334,10833.333333333334,12466.666666666666,12466.666666666666,11633.333333333334,10000.0,10100.0,10100.0,10100.0,9833.333333333334,9833.333333333334,9833.333333333334,10166.666666666666,11833.333333333334,12166.333333333334,12033.0,11849.666666666666,11516.666666666666,11483.333333333334,10000.0
394336,532,"Ardmore, OK",msa,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6833.333333333333,7316.666666666667,7316.666666666667,6816.666666666667,7000.0,9166.666666666666,12466.666666666666,,12966.666666666666,11333.333333333334,9416.666666666666,9083.333333333334,9083.333333333334,9666.666666666666,9333.333333333334,9333.333333333334,12666.666666666666,15000.0,15500.0,12666.5,10999.833333333334,10499.833333333334,10000.0,10000.0,10066.666666666666
394592,537,"Fernley, NV",msa,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500.0,9833.333333333334,9333.333333333334,9650.0,11950.0,11950.0,11633.333333333334,10300.0,11983.333333333334,12135.333333333334
394490,538,"Columbus, MS",msa,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8333.333333333334,9078.666666666666,8562.0,6928.666666666667,7850.0,8333.333333333334,9966.666666666666,8433.333333333334,7633.333333333333,6633.333333333333,6710.0
753877,539,"Cullowhee, NC",msa,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22196.0,23829.333333333332,31966.0,31633.0,31966.333333333332,23666.666666666668,25666.666666666668,23816.666666666668,23650.0,23500.0,24350.0
394956,541,"Palestine, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11183.333333333334,10000.0,11333.333333333334,11333.333333333334,10000.0,11666.666666666666,11666.666666666666,11666.666666666666,10416.666666666666,11616.666666666666,11616.666666666666,13075.333333333334,11875.333333333334,13208.666666666666,11333.333333333334,12666.666666666666,12416.5,14416.5,16416.5
394605,543,"Fort Madison, IA",msa,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7700.0,8416.666666666666,8383.333333333334,8801.666666666666,8568.333333333334,6968.333333333333,6550.0,6033.333333333333
394446,546,"Cedar City, UT",msa,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19650.0,20150.333333333332,18450.333333333332,18300.333333333332,16633.333333333332,16666.666666666668,15000.0,13333.333333333334,13333.333333333334,13366.666666666666,13366.666666666666,10033.333333333334,11666.666666666666,14999.666666666666,16666.333333333332,17999.666666666668,16333.333333333334,16333.333333333334,15000.0,15166.666666666666,15850.0,15850.0
394547,548,"Durango, CO",msa,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18416.666666666668,22416.666666666668,26750.0,31333.333333333332,27333.333333333332,27000.0,24583.333333333332,23750.0,24183.333333333332,24933.333333333332
394402,549,"Boone, NC",msa,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23500.0,23666.666666666668,22683.333333333332,24016.666666666668,24016.666666666668,24966.666666666668,25466.666666666668,25133.333333333332,24833.333333333332,22666.666666666668
394411,551,"Branson, MO",msa,MO,8300.0,6950.0,6950.0,7516.666666666667,7883.333333333333,6883.333333333333,6083.333333333333,6083.333333333333,6416.666666666667,6666.666666666667,5983.333333333333,5316.666666666667,5666.666666666667,6333.333333333333,7666.666666666667,8366.666666666666,7733.333333333333,6733.333333333333,6400.0,7700.0,8116.666666666667,8750.0,7500.0,8100.166666666667,8100.166666666667,8516.833333333334,8166.666666666667,7000.0,6500.0,6133.333333333333,7300.0,8966.666666666666,8333.333333333334,7350.0,7200.0,7200.0,6516.666666666667,6699.666666666667,8399.666666666666,11399.666666666666,12033.333333333334,13500.0,12800.0,12133.333333333334,10833.333333333334,10200.0,10200.0,11633.333333333334,11883.333333333334,13583.333333333334,13616.666666666666,15033.333333333334,15000.0,15033.333333333334,15000.0,13350.0,11650.0,10050.0
394444,552,"Carson City, NV",msa,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14966.666666666666,13300.0,13300.0,12633.333333333334,12633.666666666666,13467.0,14167.333333333334,15833.666666666666,15667.0,14000.0
394582,553,"Fairmont, WV",msa,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8066.666666666667,7400.0,6200.0,7833.333333333333,8500.0,9333.333333333334,9000.0,7666.666666666667,7300.0,6966.666666666667
